Product ID,ERP Product Family,Product Description,Product Bulletin ID,Product Bulletin URL,End of Sale Date,End of Security/Vulnerability ,Last Date of Support
VS-S2T-10G,C6000,^Cat 6500 Sup 2T with 2 x 10GbE and 3 x 1GbE with MSFC5 PFC4,EOL13211,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-743096.html,10/30/20,10/31/25,10/31/25
VS-S720-10G,C6000,^Catalyst 6500 Supervisor 720 with 2 10GbE ports,EOL12516,,7/31/15,10/30/18,7/31/20
VS-SUP2T-10G,C6000,^Catalyst 6500 Supervisor Engine 2T Baseboard,EOL13211,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-743096.html,10/30/20,10/31/25,10/31/25
VWIC2-2MFT-T1/E1,ICV,^2-Port 2nd Gen Multiflex Trunk Voice/WAN  Int. Card - T1/E1,EOL10216,http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eos-eol-notice-c51-733885.html,8/7/15,8/6/18,8/31/20
VWIC-2MFT-T1,ICV,^2-Port RJ-48 Multiflex Trunk - T1,EOL6159,http://www.cisco.com/en/US/products/hw/modules/ps3129/prod_eol_notice0900aecd806c3dc6.html,9/17/08,N/A,9/30/13
VWIC3-2MFT-T1/E1,ICV,2-Port 3rd Gen Multiflex Trunk Voice/WAN Int. Card - T1/E1,N/A,N/A,N/A,N/A,N/A
WIC-1AM-V2,WANLAN,^one-port Analog Modem Interface card,EOL11178,http://www.cisco.com/c/en/us/products/collateral/routers/2900-series-integrated-services-routers-isr/eos-eol-notice-c51-737888.html,12/9/17,12/8/20,12/31/22
WIC-1DSU-T1-V2,WANLAN,^Updated 1-Port T1/Fractional T1 DSU/CSU WAN Interface Card,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
WIC-1T=,WANLAN,^1-Port Serial WAN Interface Card,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
WIC-2A/S,WANLAN,^2-Port Async/Sync Serial WAN Interface Card,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
WIC-2A/S=,WANLAN,^2-Port Async/Sync Serial WAN Interface Card spare,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
